52.43	157.9	144
43.73	146.42	71
45.54	150.73	55
45.59	149.05	145
44.01	148.24	79
46.44	152.71	53
47.39	151.5	157
45.2	150.98	51
43.2	146.57	52
48.01	152.97	122
47.86	147.13	454
48.29	155.77	61
49.39	147.8	567
50.51	149.63	517
44.63	149.39	50
44.53	149.54	54
44.52	149.57	51
51.52	157.13	107
47.72	153.56	63
50.46	153.17	284
48.35	153.33	110
43.79	147.24	50
44.38	147.59	107
43.63	146.03	71
48.38	152.99	140
45.29	149.99	99
51.22	157.83	70
49.18	150.42	348
46.36	150.97	86
46.51	150.04	171
50.75	156.56	85
49.36	155.61	53
48.48	154.49	65
44.98	149.79	50
50.56	150.33	449
44.51	146.61	123
47.78	152.82	113
47.49	149.79	271
43.88	147.21	65
46.63	150.31	168
48.78	153.62	118
44.74	150.12	50
44.68	150.11	51
44.64	150.03	54
43.72	146.01	76
43.79	147.19	61
43.68	147.58	60
43.79	147.2	59
43.25	147.07	59
43.98	147.29	63
43.65	147.59	53
43.29	146.67	55
43.87	147.64	50
43.88	147.86	51
43.23	147.4	53
43.94	147.37	50
43.81	147.37	51
43.18	147.28	51
43.41	147.32	53
43.61	147.29	52
43.12	146.87	54
43.22	147.74	59
45.75	149.17	116
43.58	147.1	60
43.08	147.1	56
43.23	147.1	52
43.77	147.28	56
43.56	147.14	53
43.1	146.95	51
43.46	147.35	53
43.81	149.01	60
44.92	149.58	74
43.33	146.8	57
46.71	152.66	57
43.38	146.72	58
45.92	149.23	122
43.98	148.14	54
48.45	154.39	65
43.23	146.75	56
43.12	147.44	52
43.82	147.27	55
44.32	147.54	89
43.93	147.33	51
43.34	146.91	54
43.57	147.15	64
48.79	154.45	64
52.84	152.88	528
43.57	147.15	68
44.38	147.27	74
48.25	153.03	136
48.01	152.93	136
48.29	153	119
51.09	157.77	51
44.59	149.02	63
47.12	151.9	132
44.85	146.27	170
45.26	148.54	124
44.48	149.43	53
44.34	149.45	52
43.71	147.61	53
44.61	150.28	54
43.12	147.27	52
51.9	151.55	521
45.75	149.24	155
52.32	151.49	580
43.01	146.87	53
45.47	151.79	50
52.87	152.53	627
43.54	147.17	59
46.61	151.35	91
46.84	150.78	181
45.86	150.5	98
50.81	155.38	158
46.58	150.22	150
45.51	151.07	71
44.72	146.21	153
43.55	146.95	84
43.45	146.23	59
50.19	156.36	70
43.69	147.59	57
45.85	152.33	72
43.77	146.94	54
44.24	147.65	94
51.55	149.64	678
49.44	156.01	60
46.51	149.67	163
43.36	147.1	56
45.85	149.12	116
43.67	147.62	57
43.83	148.23	56
44.39	147.31	119
45.32	148.56	143
43.19	147.52	52
48.38	156.21	71
47.51	147.16	407
50.89	156.42	118
45.45	151.63	62
43.63	147.62	59
49.93	156.26	57
46.02	150.26	91
51.21	157.56	60
44.59	148.2	61
51.21	157.61	76
45.36	147.83	52
43.05	146.84	61
43.37	147.43	61
44.51	149.38	54
44.5	149.39	51
44.48	149.4	50
50.82	157.1	55
43.34	146.41	64
45.75	150.11	89
51.14	157.65	61
51.12	157.47	77
49.45	155.77	81
53	157.52	167
43.82	147.17	62
43.02	146.77	52
50.41	155.78	133
44.79	147.2	140
51.71	151.39	491
52.75	153.85	426
48.54	153.3	147
46.69	151.3	103
52.03	157.29	140
45.67	149.82	91
49.08	155.98	70
43.65	147.12	58
44.51	149.32	50
46.59	150.79	126
43.66	147.58	56
47.08	148.63	284
46	152.93	91
43.67	147.47	55
43.92	147.27	55
47.88	146.96	440
49.68	156.02	55
44.66	147.68	119
44.43	146.62	149
48.52	153.26	147
45.32	149.98	54
43.58	147.67	62
47.04	152.93	64
45.33	151.66	72
44.53	146.51	116
51.95	157.32	102
50.38	156.56	96
47.95	146.42	470
47.82	146.21	459
50.66	150.16	494
48.49	154.8	50
50.01	156.16	67
44.94	146.21	212
50.07	156.78	71
51.86	156.77	146
46.95	153.25	51
49.08	153.73	123
49.55	156.32	66
43.71	147.8	62
44.26	147.02	85
43.38	147.29	51
48.28	153.17	117
43.97	148.21	51
43.84	147.75	65
50.98	157.22	66
49.22	155.44	51
50.58	149.87	530
43.87	146.42	71
45.85	149.28	151
46.45	149.52	172
47.2	151.3	128
43.62	146.81	61
47.45	149.29	258
49.31	154.36	133
50.34	152.99	269
47.68	152.3	128
46.68	152.52	52
49.18	154.76	73
46.91	150.54	150
43.89	146.15	103
49.85	155.22	119
50.07	147.7	631
44.99	151.73	56
47.93	147.27	414
44.88	150.37	65
47.74	152.98	136
45.42	149.34	95
47.25	152.16	103
46.97	146.36	340
48.16	153.19	133
44.15	146.78	79
51.4	156.97	145
47.44	147.05	396
43.99	147.89	52
46.9	151.77	144
44.91	146.13	202
44.14	146.01	100
46.81	152.84	53
52.14	157.29	116
46.7	152.48	73
51.93	155.61	225
43.75	146.01	54
43.8	147.11	57
49.69	154.29	115
45.84	150.06	94
44.43	147.2	85
46.47	152.32	85
46.64	152.3	70
49.35	155.19	64
49.37	155.54	60
51.52	156.55	134
47.55	152.83	103
43.07	146.53	52
44.56	148.05	55
43.88	147.5	64
49.37	155.68	71
49.26	151.34	285
49.85	156.38	76
43.98	147.55	58
46.72	152.48	64
46.63	152.29	76
45.53	150.66	59
45.53	150.9	52
44.52	148.07	64
50.83	155.01	152
45.63	151.71	58
47.91	148.26	389
44.86	147.97	97
46.42	149.91	179
43.8	147.8	52
46.02	152.12	55
47.85	152.46	112
47.41	153.88	53
43.49	146.85	61
43.91	147.24	64
52.13	157.49	155
52.99	157.97	128
47.74	153.09	122
46.7	152.58	67
44.17	147.65	52
46.49	151.18	131
45.38	150	54
46.29	152.01	72
43.43	146.77	58
49.7	154.64	130
48.25	148.5	391
48.05	153.93	76
47.09	146.75	369
46.6	149.66	152
48.88	154.84	56
48.92	154.91	67
46.37	151.07	100
50.27	154.1	193
